tip_name,genus,ncbi_genus_id,ncbi_family_id,ncbi_family_name,superfamily,subsection,infraorder,suborder
Stiphrosoma_500293,Stiphrosoma,500293,286478,Anthomyzidae,Opomyzoidea,NA,Muscomorpha,Brachycera
Paranthomyza_500298,Paranthomyza,500298,286478,Anthomyzidae,Opomyzoidea,NA,Muscomorpha,Brachycera
Quametopia_1603285,Quametopia,1603285,286478,Anthomyzidae,Opomyzoidea,NA,Muscomorpha,Brachycera
Sobarocephala_574054,Sobarocephala,574054,286472,Clusiidae,Opomyzoidea,NA,Muscomorpha,Brachycera
Clusia_574057,Clusia,574057,286472,Clusiidae,Opomyzoidea,NA,Muscomorpha,Brachycera
Clusiodes_500306,Clusiodes,500306,286472,Clusiidae,Opomyzoidea,NA,Muscomorpha,Brachycera
Fergusonina_156411,Fergusonina,156411,156410,Fergusoninidae,Opomyzoidea,NA,Muscomorpha,Brachycera
Neurochaeta_716624,Neurochaeta,716624,286482,Neurochaetidae,Opomyzoidea,NA,Muscomorpha,Brachycera
Odinia_414302,Odinia,414302,286474,Odiniidae,Opomyzoidea,NA,Muscomorpha,Brachycera
Geomyza_305619,Geomyza,305619,286476,Opomyzidae,Opomyzoidea,NA,Muscomorpha,Brachycera
Opomyza_716643,Opomyza,716643,286476,Opomyzidae,Opomyzoidea,NA,Muscomorpha,Brachycera
Stenomicra_716630,Stenomicra,716630,286480,Periscelididae,Opomyzoidea,NA,Muscomorpha,Brachycera
Periscelis_716628,Periscelis,716628,286481,Periscelididae,Opomyzoidea,NA,Muscomorpha,Brachycera
Teratomyzidae,NA,NA,286483,Teratomyzidae,Opomyzoidea,NA,Muscomorpha,Brachycera
Lonchoptera_92595,Lonchoptera,92595,43826,Lonchopteridae,Platypezoidea,NA,Muscomorpha,Brachycera
Borophaga_712093,Borophaga,712093,36164,Phoridae,Platypezoidea,NA,Muscomorpha,Brachycera
Apocephalus_117252,Apocephalus,117252,36164,Phoridae,Platypezoidea,NA,Muscomorpha,Brachycera
Triphleba_92553,Triphleba,92553,36164,Phoridae,Platypezoidea,NA,Muscomorpha,Brachycera
Diplonevra_92534,Diplonevra,92534,36164,Phoridae,Platypezoidea,NA,Muscomorpha,Brachycera
