,name,updated_fullname,taxonomy_source,rank_matched,matched,score,ott_id,ncbi_id,name_source,matched_id_in_source,updated_genus,updated_genus_ott_id,ott_accepted_name,ott_version,higher_source,domain,kingdom,phylum,subphylum,class,subclass,infraclass,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,seqname,cohort,section
10,Paragus,Paragus,OTT,genus,Paragus,100,973598,115308,OTT,973598,Paragus,973598,Paragus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Paragini,,Paragus_115308,Holometabola,Aschiza
11,Rhaphium,Rhaphium,OTT,genus,Rhaphium,100,1096639,377528,OTT,1096639,Rhaphium,1096639,Rhaphium,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Empidoidea,Dolichopodidae,Rhaphiinae,,,Rhaphium_377528,Holometabola,
12,Lipsothrix,Lipsothrix,OTT,genus,Lipsothrix,100,278553,700849,OTT,278553,Lipsothrix,278553,Lipsothrix,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Tipulomorpha,Tipuloidea,Limoniidae,Limoniinae,,,Lipsothrix_700849,Holometabola,
13,Stenotabanus,Stenotabanus,OTT,genus,Stenotabanus,100,4454397,1547430,OTT,4454397,Stenotabanus,4454397,Stenotabanus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Tabanomorpha,Tabanoidea,Tabanidae,Tabaninae,Diachlorini,,Stenotabanus_1547430,Holometabola,
14,Ocnaea,Ocnaea,OTT,genus,Ocnaea,100,386850,210271,OTT,386850,Ocnaea,386850,Ocnaea,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Nemestrinoidea,Acroceridae,,,,Ocnaea_210271,Holometabola,
15,Polyporivora,Polyporivora,OTT,genus,Polyporivora,100,4350474,1445854,OTT,4350474,Polyporivora,4350474,Polyporivora,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Platypezoidea,Platypezidae,Platypezinae,,,Polyporivora_1445854,Holometabola,Aschiza
16,Senotainia,Senotainia,OTT,genus,Senotainia,100,991463,179787,OTT,991463,Senotainia,991463,Senotainia,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Oestroidea,Tachinidae,,,,Senotainia_179787,Holometabola,Schizophora
17,Tabanus,Tabanus,OTT,genus,Tabanus,100,555816,7206,OTT,555816,Tabanus,555816,Tabanus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Tabanomorpha,Tabanoidea,Tabanidae,Tabaninae,Tabanini,,Tabanus_7206,Holometabola,
18,Sphecapatodes,Sphecapatodes,OTT,genus,Sphecapatodes,100,4373381,2021536,OTT,4373381,Sphecapatodes,4373381,Sphecapatodes,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,Miltogramminae,,,Sphecapatodes_2021536,Holometabola,Schizophora
19,Ochthera,Ochthera,OTT,genus,Ochthera,100,4424952,1744809,OTT,4424952,Ochthera,4424952,Ochthera,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Ephydroidea,Ephydridae,Gymnomyzinae,,,Ochthera_1744809,Holometabola,Schizophora
20,Smittia,Smittia,OTT,genus,Smittia,100,158192,315559,OTT,158192,Smittia,158192,Smittia,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Culicomorpha,Chironomoidea,Chironomidae,Orthocladiinae,,,Smittia_315559,Holometabola,
