tip_name,name,updated_fullname,taxonomy_source,rank_matched,matched,score,ott_id,ncbi_id,name_source,matched_id_in_source,updated_genus,updated_genus_ott_id,updated_genus_ncbi_id,updated_species,updated_species_ott_id,updated_species_ncbi_id,ott_accepted_name,ott_version,higher_source,domain,kingdom,phylum,subphylum,class,subclass,cohort,infraclass,superorder,order,suborder,infraorder,section,superfamily,family,subfamily,tribe,subtribe,species group,subgenus,species subgroup,notes
Medetera_grisescens_Dolichopodidae_E,Medetera grisescens,Medetera grisescens,OTT,species,Medetera grisescens,100,480449,626547,OTT,480449,Medetera,915821,377527,grisescens,480449,626547,Medetera grisescens,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Medeterinae,,,,,,
Medetera_lorea_Dolichopodidae_E,Medetera lorea,Medetera lorea,OTT,species,Medetera lorea,100,506340,1132425,OTT,506340,Medetera,915821,377527,lorea,506340,1132425,Medetera lorea,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Medeterinae,,,,,,
Medetera_pallipes_Dolichopodidae_E,Medetera pallipes,Medetera pallipes,OTT,species,Medetera pallipes,100,1000987,1132428,OTT,1000987,Medetera,915821,377527,pallipes,1000987,1132428,Medetera pallipes,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Medeterinae,,,,,,
Medetera_impigra_Dolichopodidae_E,Medetera impigra,Medetera impigra,OTT,species,Medetera impigra,100,390220,377555,OTT,390220,Medetera,915821,377527,impigra,390220,377555,Medetera impigra,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Medeterinae,,,,,,
Medetera_abstrusa_Dolichopodidae_E,Medetera abstrusa,Medetera abstrusa,OTT,species,Medetera abstrusa,100,250332,1000596,OTT,250332,Medetera,915821,377527,abstrusa,250332,1000596,Medetera abstrusa,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Medeterinae,,,,,,
Medetera_feminina_Dolichopodidae_E,Medetera feminina,Medetera feminina,OTT,species,Medetera feminina,100,250334,1000597,OTT,250334,Medetera,915821,377527,feminina,250334,1000597,Medetera feminina,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Medeterinae,,,,,,
Medetera_jugalis_Dolichopodidae_E,Medetera jugalis,Medetera jugalis,OTT,species,Medetera jugalis,100,390218,377557,OTT,390218,Medetera,915821,377527,jugalis,390218,377557,Medetera jugalis,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Medeterinae,,,,,,
Medetera_signaticornis_Dolichopodidae_E,Medetera signaticornis,Medetera signaticornis,OTT,species,Medetera signaticornis,100,474714,1132431,OTT,474714,Medetera,915821,377527,signaticornis,474714,1132431,Medetera signaticornis,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Medeterinae,,,,,,
Medetera_muralis_Dolichopodidae_E,Medetera muralis,Medetera muralis,OTT,species,Medetera muralis,100,506336,1132427,OTT,506336,Medetera,915821,377527,muralis,506336,1132427,Medetera muralis,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Medeterinae,,,,,,
Medetera_belgica_Dolichopodidae_E,Medetera belgica,Medetera belgica,OTT,species,Medetera belgica,100,506342,1132422,OTT,506342,Medetera,915821,377527,belgica,506342,1132422,Medetera belgica,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Medeterinae,,,,,,
Medetera_parenti_Dolichopodidae_E,Medetera parenti,Medetera parenti,OTT,species,Medetera parenti,100,1000989,1132429,OTT,1000989,Medetera,915821,377527,parenti,1000989,1132429,Medetera parenti,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Medeterinae,,,,,,
Medetera_sp_Pollet_0317_Dolichopodidae_E,Medetera,Medetera,OTT,genus,Medetera,100,915821,377527,OTT,915821,Medetera,915821,,,,,Medetera,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Neoptera,,Diptera,Brachycera,Muscomorpha,,Empidoidea,Dolichopodidae,Medeterinae,,,,,,
