,name,seqname
192,Cistudinomyia,Cistudinomyia_2173397
193,Cacoxenus,Cacoxenus_462273
194,Coenomyia,Coenomyia_124305
195,Nephrocerus,Nephrocerus_115303
196,Dictya,Dictya_1096051
197,Metriocnemus,Metriocnemus_137497
198,Metalimnobia,Metalimnobia_700851
199,Nemotelus,Nemotelus_343582
200,Euleia,Euleia_28591
201,Gaurax,Gaurax_540862
202,Cobboldia,Cobboldia_2583773
203,Drino,Drino_179459
204,Ophiomyia,Ophiomyia_341050
205,Leucotabanus,Leucotabanus_1969939
206,Scholastes,Scholastes_1902237
207,Penicillidia,Penicillidia_81721
208,Fannia,Fannia_95468
209,Stenomicra,Stenomicra_716630
210,Urophora,Urophora_28620
211,Lipoptena,Lipoptena_170902
212,Basilia,Basilia_170889
213,Eumesembrinella,Eumesembrinella_672472
214,Pamponerus,Pamponerus_1717601
215,Diopsis,Diopsis_139667
216,Esenbeckia,Esenbeckia_124297
217,Mesembrinella,Mesembrinella_460529
218,Pelina,Pelina_1086796
219,Nothomicrodon,Nothomicrodon_1857748
220,Pelidnoptera,Pelidnoptera_1096074
221,Rhinophora,Rhinophora_670625
222,Vermileo,Vermileo_124333
223,Loxocera,Loxocera_34684
224,Eristalis,Eristalis_198633
225,Sphecapatoclea,Sphecapatoclea_2021595
226,Compsomyiops,Compsomyiops_142897
227,Pollenia,Pollenia_229639
228,Zaprionus,Zaprionus_7296
229,Lasioptera,Lasioptera_201413
230,Exetasis,Exetasis_1932988
231,Bactrocera,Bactrocera_27456
232,Austroconops,Austroconops_209696
233,Elomyia,Elomyia_1562792
234,Agathomyia,Agathomyia_226141
235,Stiphrosoma,Stiphrosoma_500293
236,Aphidoletes,Aphidoletes_95971
237,Hydromyza,Hydromyza_113174
238,Ctenophora,Ctenophora_516519
239,Neoempheria,Neoempheria_608686
240,Hemilucilia,Hemilucilia_416848
241,Phalacrocera,Phalacrocera_2203737
242,Nostima,Nostima_1473719
243,Zodion,Zodion_768804
244,Oxyna,Oxyna_381365
245,Callomyia,Callomyia_712098
246,Melanophora,Melanophora_1606787
247,Eukiefferiella,Eukiefferiella_288843
248,Leptometopa,Leptometopa_1720790
249,Apatolestes,Apatolestes_428062
250,Pseudosmittia,Pseudosmittia_611382
251,Passeromyia,Passeromyia_1511687
252,Psychoda,Psychoda_7201
253,Odontomyia,Odontomyia_343652
254,Paracantha,Paracantha_164885
255,Clusiodes,Clusiodes_500306
256,Culicoides,Culicoides_41820
257,Gyrostigma,Gyrostigma_2555504
258,Paragus,Paragus_115308
259,Tricyphona,Tricyphona_700863
260,Cleigastra,Cleigastra_113167
261,Brachydeutera,Brachydeutera_1990785
262,Bombylius,Bombylius_219362
263,Onesiomima,Onesiomima_2173510
264,Spaniocelyphus,Spaniocelyphus_1262326
265,Neaera,Neaera_695903
266,Neoascia,Neoascia_224222
267,Microchrysa,Microchrysa_931517
268,Sphaerophoria,Sphaerophoria_226179
269,Mormotomyia,Mormotomyia_1155704
270,Nycteribia,Nycteribia_633884
271,Cramptonomyia,Cramptonomyia_209688
272,Pachyneura,Pachyneura_1588165
273,Bathypogon,Bathypogon_1718388
274,Chloromyia,Chloromyia_343649
275,Calamoncosis,Calamoncosis_540852
276,Bolitophila,Bolitophila_52718
277,Lonchoptera,Lonchoptera_92595
278,Antocha,Antocha_454619
279,Bittacomorpha,Bittacomorpha_79307
280,Tephritis,Tephritis_43386
281,Scathophaga,Scathophaga_95462
282,Hemerodromia,Hemerodromia_626769
283,Scaeva,Scaeva_219538
284,Gymnometriocnemus,Gymnometriocnemus_611353
285,Olfersia,Olfersia_1333310
286,Chironomus,Chironomus_7150
287,Myospila,Myospila_520040
288,Dasyhelea,Dasyhelea_41822
289,Culiseta,Culiseta_174825
290,Rhagio,Rhagio_124327
291,Dexia,Dexia_569033
292,Mydas,Mydas_186100
293,Musca,Musca_7369
294,Allotrichoma,Allotrichoma_1492368
295,Pachygaster,Pachygaster_124321
296,Promachus,Promachus_247552
297,Anevrina,Anevrina_92526
298,Thereva,Thereva_95078
299,Pnyxia,Pnyxia_1781626
300,Discomyza,Discomyza_1720780
301,Hemigymnochaeta,Hemigymnochaeta_1240433
302,Odinia,Odinia_414302
303,Diasemopsis,Diasemopsis_139652
304,Helosciomyzidae,Helosciomyzidae
305,Cladochaeta,Cladochaeta_2035586
306,Compsobata,Compsobata_286452
307,Kesselimyia,Kesselimyia_1445844
308,Microdon,Microdon_115291
309,Exorista,Exorista_113238
310,Hylemya,Hylemya_253328
311,Chirosia,Chirosia_392044
312,Idiella,Idiella_1902146
313,Stegana,Stegana_188292
314,Triphleba,Triphleba_92553
315,Xanthogramma,Xanthogramma_414873
316,Australofannia,Australofannia_27472
317,Rhamphomyia,Rhamphomyia_192612
318,Nymphomyia,Nymphomyia_560766
319,Thaumalea,Thaumalea_61068
320,Cryptonevra,Cryptonevra_1616778
321,Platystoma,Platystoma_286504
322,Blera,Blera_226146
323,Coelopa,Coelopa_169466
324,Ocnaea,Ocnaea_210271
325,Psectrotanypus,Psectrotanypus_903467
326,Parochlus,Parochlus_315560
327,Ilione,Ilione_1096072
328,Pterodontia,Pterodontia_210267
329,Xylophagus,Xylophagus_219493
330,Fucellia,Fucellia_205683
331,Euxesta,Euxesta_286468
332,Phronia,Phronia_397119
333,Myolepta,Myolepta_1473716
334,Winnertzia,Winnertzia_2338641
335,Lutzomyia,Lutzomyia_7199
336,Jamesomyia,Jamesomyia_28601
337,Neopachygaster,Neopachygaster_1692469
338,Pteromicra,Pteromicra_1226622
339,Ligyra,Ligyra_117088
340,Egle,Egle_411076
341,Scaptodrosophila,Scaptodrosophila_7354
342,Paraplatypeza,Paraplatypeza_192442
343,Silvius,Silvius_415257
344,Sturmia,Sturmia_569089
345,Hydrellia,Hydrellia_92591
346,Glossina,Glossina_7393
347,Philornis,Philornis_253427
348,Phryxe,Phryxe_569079
349,Leptopsilopa,Leptopsilopa_1887046
350,Wiedemannia,Wiedemannia_240904
