Unnamed: 0,name,updated_fullname,taxonomy_source,rank_matched,matched,score,ott_id,ncbi_id,name_source,matched_id_in_source,updated_genus,updated_genus_ott_id,ott_accepted_name,ott_version,higher_source,domain,kingdom,phylum,subphylum,class,subclass,infraclass,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,seqname,section,cohort
41,Trichomyia,Trichomyia,OTT,genus,Trichomyia,100,4517592,560271,OTT,4517592,Trichomyia,4517592.0,Trichomyia,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Psychodomorpha,Psychodoidea,Psychodidae,Trichomyiinae,,,Trichomyia_560271,,Holometabola
43,Dictya,Dictya,OTT,genus,Dictya,100,360701,1096051,OTT,360701,Dictya,360701.0,Dictya,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Sciomyzoidea,Sciomyzidae,,,,Dictya_1096051,Schizophora,Holometabola
44,Pentaneura,Pentaneura,OTT,genus,Pentaneura,100,432242,891922,OTT,432242,Pentaneura,432242.0,Pentaneura,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Culicomorpha,Chironomoidea,Chironomidae,Tanypodinae,Pentaneurini,,Pentaneura_891922,,Holometabola
45,Odontoloxozus,Odontoloxozus,OTT,genus,Odontoloxozus,100,350366,588320,OTT,350366,Odontoloxozus,350366.0,Odontoloxozus,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Nerioidea,Neriidae,,,,Odontoloxozus_588320,Schizophora,Holometabola
46,Neoplasta,Neoplasta,OTT,genus,Neoplasta,100,899306,192640,OTT,899306,Neoplasta,899306.0,Neoplasta,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Empidoidea,Empididae,Hemerodromiinae,,,Neoplasta_192640,,Holometabola
47,Fannia,Fannia,OTT,genus,Fannia,100,557410,95468,OTT,557410,Fannia,557410.0,Fannia,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Muscoidea,Fanniidae,,,,Fannia_95468,Schizophora,Holometabola
48,Scathophaga,Scathophaga,OTT,genus,Scathophaga,100,557403,95462,OTT,557403,Scathophaga,557403.0,Scathophaga,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Muscoidea,Scathophagidae,Scathophaginae,,,Scathophaga_95462,Schizophora,Holometabola
49,Clinocera,Clinocera,OTT,genus,Clinocera,100,548555,192484,OTT,548555,Clinocera,548555.0,Clinocera,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Empidoidea,Empididae,Empidinae,,,Clinocera_192484,,Holometabola
50,Delphinia,Delphinia,OTT,genus,Delphinia,100,404245,43369,OTT,404245,Delphinia,404245.0,Delphinia,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Tephritoidea,Ulidiidae,Otitinae,,,Delphinia_43369,Schizophora,Holometabola
51,Crataerina,Crataerina,OTT,genus,Crataerina,100,289868,452743,OTT,289868,Crataerina,289868.0,Crataerina,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Hippoboscoidea,Hippoboscidae,Ornithomyinae,,,Crataerina_452743,Schizophora,Holometabola
52,Hammerschmidtia,Hammerschmidtia,OTT,genus,Hammerschmidtia,100,434832,226171,OTT,434832,Hammerschmidtia,434832.0,Hammerschmidtia,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Eristalinae,Brachyopini,,Hammerschmidtia_226171,Aschiza,Holometabola
53,Pachyneura,Pachyneura,OTT,genus,Pachyneura,100,4497402,1588165,OTT,4497402,Pachyneura,4497402.0,Pachyneura,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Bibionomorpha,Pachyneuroidea,Pachyneuridae,,,,Pachyneura_1588165,,Holometabola
54,Lasiomma,Lasiomma,OTT,genus,Lasiomma,100,557406,95464,OTT,557406,Lasiomma,557406.0,Lasiomma,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Muscoidea,Anthomyiidae,Anthomyiinae,,,Lasiomma_95464,Schizophora,Holometabola
55,Glossina,Glossina,OTT,genus,Glossina,100,753708,7393,OTT,753708,Glossina,753708.0,Glossina,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Hippoboscoidea,Glossinidae,,,,Glossina_7393,Schizophora,Holometabola
56,Haematopota,Haematopota,OTT,genus,Haematopota,100,152993,124311,OTT,152993,Haematopota,152993.0,Haematopota,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Tabanomorpha,Tabanoidea,Tabanidae,Tabaninae,Haematopotini,,Haematopota_124311,,Holometabola
58,Billaea,Billaea,OTT,genus,Billaea,100,479622,701468,OTT,479622,Billaea,479622.0,Billaea,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Oestroidea,Tachinidae,Dexiinae,Dexiini,,Billaea_701468,Schizophora,Holometabola
59,Microdon,Microdon,OTT,genus,Microdon,100,520158,115291,OTT,520158,Microdon,520158.0,Microdon,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Microdontinae,,,Microdon_115291,Aschiza,Holometabola
60,Ctenophora,Ctenophora,OTT,genus,Ctenophora,100,1043126,516519,OTT,1043126,Ctenophora,1043126.0,Ctenophora,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Tipulomorpha,Tipuloidea,Tipulidae,,,,Ctenophora_516519,,Holometabola
61,Ateloglossa,Ateloglossa,OTT,genus,Ateloglossa,100,4380579,1890907,OTT,4380579,Ateloglossa,4380579.0,Ateloglossa,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Oestroidea,Tachinidae,Dexiinae,Dexiini,,Ateloglossa_1890907,Schizophora,Holometabola
62,Opomyza,Opomyza,OTT,genus,Opomyza,100,365223,716643,OTT,365223,Opomyza,365223.0,Opomyza,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Opomyzoidea,Opomyzidae,,,,Opomyza_716643,Schizophora,Holometabola
63,Hebecnema,Hebecnema,OTT,genus,Hebecnema,100,788056,559682,OTT,788056,Hebecnema,788056.0,Hebecnema,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Muscoidea,Muscidae,Mydaeinae,,,Hebecnema_559682,Schizophora,Holometabola
64,Copestylum,Copestylum,OTT,genus,Copestylum,100,757880,511142,OTT,757880,Copestylum,757880.0,Copestylum,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Eristalinae,Volucellini,,Copestylum_511142,Aschiza,Holometabola
65,Mischoderus,Mischoderus,OTT,genus,Mischoderus,100,4513164,560267,OTT,4513164,Mischoderus,4513164.0,Mischoderus,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Ptychopteromorpha,,Tanyderidae,,,,Mischoderus_560267,,Holometabola
66,Euleia,Euleia,OTT,genus,Euleia,100,801867,28591,OTT,801867,Euleia,801867.0,Euleia,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Tephritoidea,Tephritidae,Trypetinae,Trypetini,Trypetina,Euleia_28591,Schizophora,Holometabola
67,Dasiops,Dasiops,OTT,genus,Dasiops,100,281227,286456,OTT,281227,Dasiops,281227.0,Dasiops,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Tephritoidea,Lonchaeidae,,,,Dasiops_286456,Schizophora,Holometabola
68,Liriomyza,Liriomyza,OTT,genus,Liriomyza,100,587945,127403,OTT,587945,Liriomyza,587945.0,Liriomyza,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Opomyzoidea,Agromyzidae,Phytomyzinae,,,Liriomyza_127403,Schizophora,Holometabola
69,Senotainia,Senotainia,OTT,genus,Senotainia,100,991463,179787,OTT,991463,Senotainia,991463.0,Senotainia,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Oestroidea,Tachinidae,,,,Senotainia_179787,Schizophora,Holometabola
70,Metriocnemus,Metriocnemus,OTT,genus,Metriocnemus,100,792851,137497,OTT,792851,Metriocnemus,792851.0,Metriocnemus,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Culicomorpha,Chironomoidea,Chironomidae,Orthocladiinae,,,Metriocnemus_137497,,Holometabola
71,Potamia,Potamia,OTT,genus,Potamia,100,558828,559704,OTT,558828,Potamia,558828.0,Potamia,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Muscoidea,Muscidae,Azeliinae,Azeliini,,Potamia_559704,Schizophora,Holometabola
72,Olfersia,Olfersia,OTT,genus,Olfersia,100,4391305,1333310,OTT,4391305,Olfersia,4391305.0,Olfersia,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Hippoboscoidea,Hippoboscidae,Ornithomyinae,,,Olfersia_1333310,Schizophora,Holometabola
73,Stiphrosoma,Stiphrosoma,OTT,genus,Stiphrosoma,100,932481,500293,OTT,932481,Stiphrosoma,932481.0,Stiphrosoma,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Opomyzoidea,Anthomyzidae,,,,Stiphrosoma_500293,Schizophora,Holometabola
74,Phronia,Phronia,OTT,genus,Phronia,100,1033945,397119,OTT,1033945,Phronia,1033945.0,Phronia,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Mycetophilidae,Mycetophilinae,Mycetophilini,,Phronia_397119,,Holometabola
75,Borophaga,Borophaga,OTT,genus,Borophaga,100,486865,712093,OTT,486865,Borophaga,486865.0,Borophaga,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Platypezoidea,Phoridae,Phorinae,,,Borophaga_712093,Aschiza,Holometabola
76,Scatophila,Scatophila,OTT,genus,Scatophila,100,4424412,1763968,OTT,4424412,Scatophila,4424412.0,Scatophila,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Ephydroidea,Ephydridae,Ephydrinae,,,Scatophila_1763968,Schizophora,Holometabola
77,Leucopis,Leucopis,OTT,genus,Leucopis,100,4416066,1728826,OTT,4416066,Leucopis,4416066.0,Leucopis,ott3.6draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Lauxanioidea,Chamaemyiidae,,,,Leucopis_1728826,Schizophora,Holometabola
